Date,Price,Open,High,Low,Vol.,Change %
Dec-97,57.7,61.7,63.23,57.55,51.82K,-7.12%
Nov-97,62.12,62.55,63.88,60.65,74.02K,-0.18%
Oct-97,62.23,67.85,68.8,60.02,74.19K,-8.22%
Sep-97,67.8,70.8,71.85,67.7,79.10K,-3.76%
Aug-97,70.45,81.92,82.9,68.9,61.59K,-14.00%
Jul-97,81.92,84.4,84.4,79.75,58.77K,-3.25%
Jun-97,84.67,80.15,84.83,79.95,55.71K,5.71%
May-97,80.1,83.8,85.78,79.38,96.43K,-4.13%
Apr-97,83.55,72.65,86.6,71.75,74.37K,14.50%
Mar-97,72.97,74.3,74.55,68.05,81.91K,-2.01%
Feb-97,74.47,75.25,75.92,71.95,48.11K,-0.57%
Jan-97,74.9,78.8,79.25,74.35,80.57K,-5.45%
Dec-96,79.22,59.3,80.3,57.25,50.27K,33.93%
Nov-96,59.15,54.9,59.58,54.75,83.41K,8.73%
Oct-96,54.4,57.73,60.67,51.85,50.49K,-5.77%
Sep-96,57.73,52.42,58.58,51.98,65.85K,10.13%
Aug-96,52.42,59,62.8,51.8,44.24K,-10.74%
Jul-96,58.73,56.73,64.05,56.73,42.04K,6.34%
Jun-96,55.23,61.4,63.4,55.12,37.61K,-10.75%
May-96,61.88,59.9,66.72,59.2,85.03K,3.56%
Apr-96,59.75,51.75,59.85,51.25,49.46K,15.91%
Mar-96,51.55,48.58,51.75,47.5,58.73K,6.18%
Feb-96,48.55,46.65,50.3,46,34.49K,4.14%
Jan-96,46.62,47.08,47.65,44.5,59.49K,-4.03%
Dec-95,48.58,44.8,50.48,44.8,29.69K,8.24%
Nov-95,44.88,43.4,45.02,41.9,63.10K,2.70%
Oct-95,43.7,46.05,46.85,43.62,40.17K,-5.72%
Sep-95,46.35,44.5,47.5,44.23,58.04K,3.81%
Aug-95,44.65,48.05,53.4,43.52,48.00K,-7.46%
Jul-95,48.25,47.1,49,45.42,33.95K,1.79%
Jun-95,47.4,43.92,50.1,42.95,26.58K,7.92%
May-95,43.92,42.1,44.77,39.95,62.32K,3.71%
Apr-95,42.35,37.8,44.5,36.4,33.53K,12.99%
Mar-95,37.48,39.75,41.67,36.95,63.25K,-5.71%
Feb-95,39.75,39.55,40.9,38.45,31.73K,-0.13%
Jan-95,39.8,39.55,41.27,37,67.90K,1.14%
Dec-94,39.35,30.7,39.95,30.57,38.45K,28.26%
Nov-94,30.68,35.1,35.1,30.4,69.95K,-13.01%
Oct-94,35.27,36.42,36.67,29.98,36.28K,-3.16%
Sep-94,36.42,38.55,39.38,36.3,46.23K,-5.60%
Aug-94,38.58,46.1,46.7,38.4,30.01K,-16.82%
Jul-94,46.38,45.58,47.25,44.55,21.08K,-1.49%
Jun-94,47.08,47.65,49.1,45.2,31.43K,-1.09%
May-94,47.6,51,51.1,46.8,61.65K,-7.09%
Apr-94,51.23,46.8,52.95,45.02,24.06K,9.82%
Mar-94,46.65,49.2,49.23,46.08,63.30K,-5.76%
Feb-94,49.5,50.2,50.7,48.3,25.10K,-1.82%
Jan-94,50.42,45.55,50.65,45,55.41K,11.18%
Dec-93,45.35,44.75,45.65,40.9,24.91K,0.60%
Nov-93,45.08,49.2,49.35,44.7,55.37K,-8.09%
Oct-93,49.05,48.62,50.5,45.9,25.29K,4.10%
Sep-93,47.12,46.98,50.15,46.7,49.14K,-0.11%
Aug-93,47.17,48.85,51.5,45.12,26.76K,-3.58%
Jul-93,48.92,49.12,49.62,46.92,22.76K,2.67%
Jun-93,47.65,51.55,53.25,47.35,28.04K,-7.26%
May-93,51.38,51.35,53.48,50.45,56.29K,0.06%
Apr-93,51.35,50.45,52.35,45.75,34.37K,1.72%
Mar-93,50.48,45.2,52.9,45.12,63.46K,10.90%
Feb-93,45.52,44.05,46.35,43.1,25.66K,3.41%
Jan-93,44.02,43.7,44.9,42.3,59.79K,0.92%
Dec-92,43.62,44.5,45.05,42.7,40.30K,-1.93%
Nov-92,44.48,42.17,45.05,42.17,56.75K,4.86%
Oct-92,42.42,41.9,44.38,41.85,47.63K,0.21%
Sep-92,42.33,39.75,42.42,39.5,56.76K,5.69%
Aug-92,40.05,43.35,46.5,39.7,25.60K,-6.86%
Jul-92,43,46.5,47.17,42.15,27.76K,-9.15%
Jun-92,47.33,46.9,52,46.42,30.60K,0.81%
May-92,46.95,48.3,49.25,46.55,63.22K,-2.39%
Apr-92,48.1,40.65,48.9,40.4,39.40K,18.33%
Mar-92,40.65,39.55,41.88,39.25,61.70K,2.32%
Feb-92,39.73,41,42.55,38.98,36.35K,-3.38%
Jan-92,41.12,39.1,41.55,38.83,49.90K,4.63%
Dec-91,39.3,41.95,42.55,38.9,28.38K,-6.70%
Nov-91,42.12,41.77,42.7,40.38,55.57K,0.93%
Oct-91,41.73,46.05,46.5,41.45,33.30K,-9.12%
Sep-91,45.92,43.9,47.55,43.15,45.99K,3.96%
Aug-91,44.17,53.44,53.7,43.5,32.98K,-17.32%
