Date,Price,Open,High,Low,Vol.,Change %
Jun-97,64.45,64.85,65.8,63.1,85.49K,-1.04%
May-97,65.125,64.75,66.425,64.525,136.95K,0.58%
Apr-97,64.75,68.275,70.8,63.6,107.30K,-5.37%
Mar-97,68.425,69.6,69.8,67.4,159.56K,-1.72%
Feb-97,69.625,64.5,70.4,63.325,91.50K,7.53%
Jan-97,64.75,65.25,66.25,63.875,140.66K,-0.35%
Dec-96,64.975,66.9,67.95,64.6,102.93K,-3.06%
Nov-96,67.025,66.8,68.975,65.775,151.31K,0.52%
Oct-96,66.675,73.6,73.95,65.4,99.45K,-9.07%
Sep-96,73.325,72.2,73.55,71.1,120.98K,1.52%
Aug-96,72.225,65.55,72.3,65.425,94.45K,10.65%
Jul-96,65.275,66.15,68.5,64.475,144.33K,-0.84%
Jun-96,65.825,61.55,65.975,61.5,101.10K,6.73%
May-96,61.675,57.25,62,56.75,169.13K,7.54%
Apr-96,57.35,63.65,64.575,54,107.51K,-9.58%
Mar-96,63.425,63.9,65.35,61.3,148.35K,-0.78%
Feb-96,63.925,64.075,65.825,62.5,77.49K,-0.16%
Jan-96,64.025,66.325,67.05,62.8,129.67K,-3.61%
Dec-95,66.425,67.7,68.65,66.05,69.65K,-1.74%
Nov-95,67.6,68.4,69.25,67.1,118.12K,-1.10%
Oct-95,68.35,64.65,68.725,63.475,67.24K,5.23%
Sep-95,64.95,63.45,65.9,63.275,115.17K,2.57%
Aug-95,63.325,63.95,64.875,60.75,95.02K,-0.74%
Jul-95,63.8,62.725,64.45,61.3,145.64K,1.59%
Jun-95,62.8,61.25,65.1,61.075,90.11K,2.91%
May-95,61.025,63.2,63.35,58.65,161.07K,-3.06%
Apr-95,62.95,67.55,70.65,62.6,108.39K,-6.53%
Mar-95,67.35,74.4,74.475,65.6,218.42K,-9.32%
Feb-95,74.275,74.15,75.825,72.4,87.40K,-0.10%
Jan-95,74.35,72.55,75.2,72.05,121.49K,2.30%
Dec-94,72.675,67.6,72.775,67.25,69.02K,7.79%
Nov-94,67.425,70,71,66.75,130.76K,-3.68%
Oct-94,70,68.55,70.25,66.5,94.01K,2.19%
Sep-94,68.5,70.85,72.1,67.9,144.87K,-3.32%
Aug-94,70.85,68.975,72.35,66.525,102.34K,2.90%
Jul-94,68.85,63.3,70.65,63.175,155.67K,7.33%
Jun-94,64.15,66.45,66.475,61.65,98.06K,-3.21%
May-94,66.275,71.4,71.475,62.3,172.91K,-7.05%
Apr-94,71.3,77.05,77.925,70.55,89.76K,-6.95%
Mar-94,76.625,76.95,77.375,75.875,129.50K,-0.62%
Feb-94,77.1,73.2,77.15,71.575,98.92K,5.18%
Jan-94,73.3,73.6,74.775,72.275,128.23K,-0.20%
Dec-93,73.45,71.6,74.6,70.5,69.62K,2.66%
Nov-93,71.55,74.025,74.6,71.15,119.22K,-3.38%
Oct-93,74.05,73.6,75.4,70,79.38K,1.16%
Sep-93,73.2,75.05,76.65,72.4,125.40K,-2.59%
Aug-93,75.15,75.85,76.85,73.425,66.48K,-0.92%
Jul-93,75.85,75.375,75.95,72.125,123.52K,1.07%
Jun-93,75.05,75.4,78.1,73.5,83.96K,-0.37%
May-93,75.325,76.95,77.325,75.075,102.87K,-1.89%
Apr-93,76.775,81.85,82.75,75.675,86.04K,-6.20%
Mar-93,81.85,80.125,84.3,79.675,147.51K,2.03%
Feb-93,80.225,77,83.75,76.95,86.90K,3.52%
Jan-93,77.5,77.125,80.95,77.05,132.35K,0.49%
Dec-92,77.125,76.75,80,76.025,72.92K,0.46%
Nov-92,76.775,73.65,76.925,73.25,101.70K,4.07%
Oct-92,73.775,75.35,76.675,73.15,76.36K,-2.03%
Sep-92,75.3,73.75,76.15,73.4,101.19K,2.10%
Aug-92,73.75,74,75.225,73.1,76.60K,-0.10%
Jul-92,73.825,71.975,74.25,71.75,129.15K,1.93%
Jun-92,72.425,72.05,73.8,70.25,84.83K,0.70%
May-92,71.925,73.125,74.9,71.55,133.55K,-1.61%
Apr-92,73.1,79.1,79.9,72.9,112.69K,-7.73%
Mar-92,79.225,77.25,79.725,76.8,176.90K,2.36%
Feb-92,77.4,76.5,79.675,76.05,91.30K,0.95%
Jan-92,76.675,72.3,76.875,71.875,176.44K,5.90%
Dec-91,72.4,73.4,73.7,67.5,87.93K,-1.53%
Nov-91,73.525,73.65,76.525,72.075,154.78K,0.03%
Oct-91,73.5,74.85,75.05,70.975,109.11K,-1.87%
Sep-91,74.9,69.8,75.075,69.22,151.50K,6.92%
Aug-91,70.05,70.62,72.15,65.5,95.27K,-0.50%
Jul-91,70.4,71.82,74.15,70.37,119.88K,-2.52%
Jun-91,72.22,75.62,76.05,71.22,75.42K,-4.62%
May-91,75.72,76.11,76.4,74.25,116.14K,-0.50%
Apr-91,76.1,81.82,82.7,75.92,88.87K,-6.51%
Mar-91,81.4,80.05,82.02,80,127.13K,1.47%
Feb-91,80.22,78.61,80.62,78.3,53.31K,2.06%
Jan-91,78.6,77.35,78.7,75.05,129.79K,1.81%
Dec-90,77.2,78.75,81.25,76.45,62.28K,-1.72%
Nov-90,78.55,77.56,79.77,76.7,115.64K,1.42%
Oct-90,77.45,79.87,80.45,76.4,96.43K,-2.02%
Sep-90,79.05,76.01,79.72,76,115.18K,3.58%
Aug-90,76.32,78.13,79.42,75.45,106.13K,-2.55%
Jul-90,78.32,72.83,78.5,72.22,135.75K,7.18%
Jun-90,73.07,74.22,77.35,72.85,78.01K,-1.26%
May-90,74,73.13,75.42,73.07,180.18K,1.41%
Apr-90,72.97,77.97,80.55,72.4,120.66K,-6.29%
Mar-90,77.87,75.42,78.35,75.4,161.91K,3.21%
