Month,World.Prod,,,,,,,
12-Jan,49792,,,,,,,
12-Feb,49792,,,,,,,
12-Mar,49792,,,,,,,
12-Apr,49792,,,,,,,
12-May,49792,,,,,,,
12-Jun,49792,,,,,,,
12-Jul,49792,,,,,,,
12-Aug,52145.75,,,,,,,
12-Sep,52145.75,,,,,,,
12-Oct,52145.75,,,,,,,
12-Nov,52145.75,,,,,,,
12-Dec,52145.75,,,,,,,
13-Jan,52145.75,,,,,,,
13-Feb,52145.75,,,,,,,
13-Mar,52145.75,,,,,,,
13-Apr,52145.75,,,,,,,
13-May,52145.75,,,,,,,
13-Jun,52145.75,,,,,,,
13-Jul,52145.75,,,,,,,
13-Aug,56307.92,,,,,,,
13-Sep,56307.92,,,,,,,
13-Oct,56307.92,,,,,,,
13-Nov,56307.92,,,,,,,
13-Dec,56307.92,,,,,,,
14-Jan,56307.92,,,,,,,
14-Feb,56307.92,,,,,,,
14-Mar,56307.92,,,,,,,
14-Apr,56307.92,,,,,,,
14-May,56307.92,,,,,,,
14-Jun,56307.92,,,,,,,
14-Jul,56307.92,,,,,,,
14-Aug,58053.17,,,,,,,
14-Sep,58053.17,,,,,,,
14-Oct,58053.17,,,,,,,
14-Nov,58053.17,,,,,,,
14-Dec,58053.17,,,,,,,
15-Jan,58053.17,,,,,,,
15-Feb,58053.17,,,,,,,
15-Mar,58053.17,,,,,,,
15-Apr,58053.17,,,,,,,
15-May,58053.17,,,,,,,
15-Jun,58053.17,,,,,,,
15-Jul,58053.17,,,,,,,
15-Aug,55799.67,,,,,,,
15-Sep,55799.67,,,,,,,
15-Oct,55799.67,,,,,,,
15-Nov,55799.67,,,,,,,
15-Dec,55799.67,,,,,,,
16-Jan,55799.67,,,,,,,
16-Feb,55799.67,,,,,,,
16-Mar,55799.67,,,,,,,
16-Apr,55799.67,,,,,,,
16-May,55799.67,,,,,,,
16-Jun,55799.67,,,,,,,
16-Jul,55799.67,,,,,,,
16-Aug,61921.83,,,,,,,
16-Sep,61921.83,,,,,,,
16-Oct,61921.83,,,,,,,
16-Nov,61921.83,,,,,,,
16-Dec,61921.83,,,,,,,
17-Jan,61921.83,,,,,,,
17-Feb,61921.83,,,,,,,
17-Mar,61921.83,,,,,,,
17-Apr,61921.83,,,,,,,
17-May,61921.83,,,,,,,
17-Jun,61921.83,,,,,,,
17-Jul,61921.83,,,,,,,
17-Aug,59082.75,,,,,,,
17-Sep,59082.75,,,,,,,
17-Oct,59082.75,,,,,,,
17-Nov,59082.75,,,,,,,
17-Dec,59082.75,,,,,,,
18-Jan,59082.75,,,,,,,
18-Feb,59082.75,,,,,,,
18-Mar,59082.75,,,,,,,
18-Apr,59082.75,,,,,,,
18-May,59082.75,,,,,,,
18-Jun,59082.75,,,,,,,
18-Jul,59082.75,,,,,,,
18-Aug,63282.17,,,,,,,
18-Sep,63282.17,,,,,,,
18-Oct,63282.17,,,,,,,
18-Nov,63282.17,,,,,,,
18-Dec,63282.17,,,,,,,
19-Jan,63282.17,,,,,,,
19-Feb,63282.17,,,,,,,
19-Mar,63282.17,,,,,,,
19-Apr,63282.17,,,,,,,
19-May,63282.17,,,,,,,
19-Jun,63282.17,,,,,,,
19-Jul,63282.17,,,,,,,
19-Aug,63770,,,,,,,
19-Sep,63770,,,,,,,
19-Oct,63770,,,,,,,
19-Nov,63770,,,,,,,
19-Dec,63770,,,,,,,
20-Jan,63770,,,,,,,
20-Feb,63770,,,,,,,
20-Mar,63770,,,,,,,
