"","Month","cornprice","hogprice","cattleprice","poultryprice","gasprice","worldcornprod","US.Prod"
"124","Jun-00","187.50"," 70.60"," 67.475",1.3,1.633,1209.01411344,785.88
"125","Jul-00","180.25"," 67.25"," 66.725",1.32,1.551,1209.01411344,785.88
"126","Aug-00","183.75"," 52.92"," 66.225",1.33,1.465,1114.124242,826.25
"127","Sep-00","193.25"," 58.35"," 69.075",1.36,1.55,1114.124242,826.25
"128","Oct-00","202.25"," 51.17"," 72.500",1.36,1.532,1114.124242,826.25
"129","Nov-00","208.75"," 54.45"," 72.175",1.36,1.517,1114.124242,826.25
"130","Dec-00","224.75"," 56.83"," 80.225",1.36,1.443,1114.124242,826.25
"131","Jan-01","209.00"," 54.80"," 77.550",1.36,1.447,1114.124242,826.25
"132","Feb-01","214.50"," 62.80"," 82.375",1.36,1.45,1114.124242,826.25
"133","Mar-01","203.25"," 64.47"," 78.350",1.37,1.409,1114.124242,826.25
"134","Apr-01","199.25"," 67.58"," 77.100",1.37,1.552,1114.124242,826.25
"135","May-01","192.75"," 68.83"," 74.625",1.39,1.702,1114.124242,826.25
"136","Jun-01","188.75"," 72.75"," 71.525",1.4,1.616,1114.124242,826.25
"137","Jul-01","218.75"," 70.72"," 71.875",1.42,1.421,1114.124242,826.25
"138","Aug-01","219.00"," 58.25"," 71.800",1.45,1.421,1182.152146,791.88
"139","Sep-01","209.75"," 58.60"," 66.225",1.47,1.522,1182.152146,791.88
"140","Oct-01","200.75"," 51.65"," 66.225",1.45,1.315,1182.152146,791.88
"141","Nov-01","208.50"," 50.33"," 67.225",1.42,1.171,1182.152146,791.88
"142","Dec-01","199.75"," 57.05"," 68.175",1.39,1.086,1182.152146,791.88
"143","Jan-02","206.00"," 56.25"," 73.750",1.39,1.107,1182.152146,791.88
"144","Feb-02","200.50"," 60.35"," 70.375",1.39,1.114,1182.152146,791.88
"145","Mar-02","202.50"," 51.88"," 70.425",1.38,1.249,1182.152146,791.88
"146","Apr-02","193.50"," 45.60"," 66.700",1.38,1.397,1182.152146,791.88
"147","May-02","214.00"," 46.75"," 60.475",1.4,1.392,1182.152146,791.88
"148","Jun-02","225.50"," 50.52"," 63.400",1.41,1.382,1182.152146,791.88
"149","Jul-02","247.25"," 51.77"," 65.000",1.42,1.397,1182.152146,791.88
"150","Aug-02","259.50"," 30.88"," 64.725",1.41,1.396,1234.31159656,747.23
"151","Sep-02","251.50"," 40.20"," 67.400",1.41,1.4,1234.31159656,747.23
"152","Oct-02","247.50"," 43.12"," 68.400",1.39,1.445,1234.31159656,747.23
"153","Nov-02","240.25"," 46.55"," 74.775",1.36,1.419,1234.31159656,747.23
"154","Dec-02","235.75"," 51.60"," 75.350",1.36,1.386,1234.31159656,747.23
"155","Jan-03","238.25"," 50.92"," 82.600",1.37,1.458,1234.31159656,747.23
"156","Feb-03","231.75"," 54.55"," 79.125",1.39,1.613,1234.31159656,747.23
"157","Mar-03","236.50"," 50.33"," 75.800",1.41,1.693,1234.31159656,747.23
"158","Apr-03","232.75"," 57.95"," 79.050",1.4,1.589,1234.31159656,747.23
"159","May-03","244.25"," 64.85"," 82.000",1.42,1.497,1234.31159656,747.23
"160","Jun-03","228.50"," 64.05"," 73.225",1.45,1.493,1234.31159656,747.23
"161","Jul-03","206.00"," 57.30"," 78.850",1.49,1.513,1234.31159656,747.23
"162","Aug-03","233.25"," 54.77"," 84.350",1.51,1.62,1218.85965656,840.61
"163","Sep-03","220.25"," 55.52"," 90.000",1.53,1.679,1218.85965656,840.61
"164","Oct-03","247.25"," 53.33","101.750",1.51,1.564,1218.85965656,840.61
"165","Nov-03","245.00"," 49.95","102.000",1.51,1.512,1218.85965656,840.61
"166","Dec-03","246.00"," 53.42"," 77.200",1.52,1.479,1218.85965656,840.61
"167","Jan-04","276.25"," 57.35"," 76.700",1.53,1.572,1218.85965656,840.61
"168","Feb-04","296.25"," 62.02"," 81.500",1.58,1.648,1218.85965656,840.61
"169","Mar-04","320.00"," 66.65"," 84.000",1.61,1.736,1218.85965656,840.61
"170","Apr-04","316.50"," 74.40"," 88.300",1.65,1.798,1218.85965656,840.61
"171","May-04","304.00"," 75.83"," 89.250",1.69,1.983,1218.85965656,840.61
"172","Jun-04","257.50"," 78.95"," 87.250",1.76,1.969,1218.85965656,840.61
"173","Jul-04","217.25"," 77.75"," 86.000",1.78,1.911,1218.85965656,840.61
"174","Aug-04","227.75"," 65.97"," 84.225",1.77,1.878,1368.05453456,983.8
"175","Sep-04","205.50"," 75.00"," 84.500",1.72,1.87,1368.05453456,983.8
"176","Oct-04","202.50"," 67.45"," 87.850",1.68,2,1368.05453456,983.8
"177","Nov-04","192.50"," 79.08"," 85.000",1.65,1.979,1368.05453456,983.8
"178","Dec-04","204.75"," 76.40"," 89.850",1.62,1.841,1368.05453456,983.8
"179","Jan-05","197.00"," 73.78"," 91.000",1.62,1.831,1368.05453456,983.8
"180","Feb-05","214.50"," 74.22"," 87.225",1.63,1.91,1368.05453456,983.8
"181","Mar-05","213.00"," 68.70"," 92.000",1.63,2.079,1368.05453456,983.8
"182","Apr-05","204.75"," 78.15"," 93.925",1.63,2.243,1368.05453456,983.8
"183","May-05","222.00"," 72.00"," 90.000",1.64,2.161,1368.05453456,983.8
"184","Jun-05","212.25"," 65.53"," 82.775",1.64,2.156,1368.05453456,983.8
"185","Jul-05","236.50"," 67.88"," 81.200",1.65,2.29,1368.05453456,983.8
"186","Aug-05","201.50"," 63.70"," 83.250",1.65,2.486,1370.9906,926.02
"187","Sep-05","205.50"," 67.20"," 89.125",1.66,2.903,1370.9906,926.02
"188","Oct-05","196.25"," 61.67"," 88.500",1.64,2.717,1370.9906,926.02
"189","Nov-05","187.50"," 62.50"," 93.450",1.6,2.257,1370.9906,926.02
"190","Dec-05","215.75"," 65.28"," 92.450",1.57,2.185,1370.9906,926.02
"191","Jan-06","218.75"," 55.95"," 93.550",1.54,2.316,1370.9906,926.02
"192","Feb-06","228.00"," 61.48"," 90.150",1.53,2.28,1370.9906,926.02
"193","Mar-06","236.00"," 57.35"," 79.500",1.51,2.425,1370.9906,926.02
"194","Apr-06","238.25"," 67.97"," 79.200",1.49,2.742,1370.9906,926.02
"195","May-06","251.25"," 68.08"," 79.700",1.5,2.907,1370.9906,926.02
"196","Jun-06","235.50"," 72.55"," 84.550",1.52,2.885,1370.9906,926.02
"197","Jul-06","239.00"," 68.55"," 83.725",1.54,2.981,1370.9906,926.02
"198","Aug-06","232.00"," 66.90"," 90.225",1.55,2.952,1469.96844456,877.59
"199","Sep-06","262.50"," 63.62"," 90.650",1.56,2.555,1469.96844456,877.59
"200","Oct-06","320.75"," 64.95"," 90.400",1.54,2.245,1469.96844456,877.59
"201","Nov-06","377.00"," 61.67"," 85.700",1.52,2.229,1469.96844456,877.59
"202","Dec-06","390.25"," 61.70"," 90.425",1.53,2.313,1469.96844456,877.59
"203","Jan-07","404.00"," 64.53"," 90.225",1.57,2.24,1469.96844456,877.59
"204","Feb-07","425.25"," 67.75"," 94.450",1.63,2.278,1469.96844456,877.59
"205","Mar-07","374.50"," 63.85"," 97.600",1.68,2.563,1469.96844456,877.59
"206","Apr-07","358.00"," 75.60"," 97.275",1.72,2.845,1469.96844456,877.59
"207","May-07","390.25"," 75.08"," 91.150",1.75,3.146,1469.96844456,877.59
"208","Jun-07","329.50"," 71.22"," 85.500",1.78,3.056,1469.96844456,877.59
"209","Jul-07","325.75"," 73.33"," 94.875",1.79,2.965,1469.96844456,877.59
"210","Aug-07","324.00"," 66.83"," 94.100",1.79,2.786,1533.75090344,1086.49
"211","Sep-07","373.00"," 58.90"," 96.950",1.8,2.803,1533.75090344,1086.49
"212","Oct-07","375.50"," 53.88"," 94.800",1.76,2.803,1533.75090344,1086.49
"213","Nov-07","384.50"," 54.90"," 93.850",1.71,3.08,1533.75090344,1086.49
"214","Dec-07","455.50"," 57.88"," 96.250",1.69,3.018,1533.75090344,1086.49
"215","Jan-08","501.25"," 58.48"," 90.900",1.7,3.043,1533.75090344,1086.49
"216","Feb-08","546.00"," 59.95"," 92.975",1.74,3.028,1533.75090344,1086.49
"217","Mar-08","567.25"," 57.08"," 87.425",1.79,3.244,1533.75090344,1086.49
"218","Apr-08","600.25"," 73.75"," 91.650",1.81,3.458,1533.75090344,1086.49
"219","May-08","599.25"," 77.75"," 96.525",1.84,3.766,1533.75090344,1086.49
"220","Jun-08","724.75"," 71.78","100.600",1.89,4.054,1533.75090344,1086.49
"221","Jul-08","587.50"," 79.62"," 98.400",1.95,4.062,1533.75090344,1086.49
"222","Aug-08","568.25"," 68.42","101.775",1.95,3.779,1641.52434656,1003.6
"223","Sep-08","487.50"," 68.58"," 98.900",1.95,3.703,1641.52434656,1003.6
"224","Oct-08","401.50"," 54.80"," 93.750",1.93,3.051,1641.52434656,1003.6
"225","Nov-08","349.50"," 59.50"," 87.375",1.92,2.147,1641.52434656,1003.6
